fips,country,state,county,level,lat,locationId,long,population,metrics.testPositivityRatio,metrics.testPositivityRatioDetails.source,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,unused1,unused2,unused3,unused4,unused5,metrics.icuCapacityRatio,riskLevels.overall,riskLevels.testPositivityRatio,riskLevels.caseDensity,riskLevels.contactTracerCapacityRatio,riskLevels.infectionRate,unused6,riskLevels.icuCapacityRatio,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,unused7,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,unused8,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,lastUpdatedDate,url,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered,cdcTransmissionLevel
02,US,AK,,state,,iso1:us#iso2:us-ak,,731545,0.051,other,36.6,0.18,0.89,0.1,,,,,,0.82,3,1,3,1,0,,2,150989,859,153483,2868254,235,1585,1226,74,,122,100,21,,317,1291135,462617,399052,2021-12-04,https://covidactnow.org/us/alaska-ak,0.632,0.545,0,967612,3
01,US,AL,,state,,iso1:us#iso2:us-al,,4903185,0.056,other,8.9,0.18,0.96,0.1,,,,,,0.93,1,1,1,1,1,,3,845094,16172,797403,5491346,404,15298,12085,443,,1563,1451,115,,595,7902810,2788826,2273361,2021-12-04,https://covidactnow.org/us/alabama-al,0.569,0.464,15,5301858,2
05,US,AR,,state,,iso1:us#iso2:us-ar,,3017804,0.075,other,25.9,0.2,1.12,0.1,,,,,,0.87,3,1,3,1,2,,3,532168,8699,327533,3548722,790,9342,6929,525,,959,839,167,,1174,4877020,1834179,1495888,2021-12-04,https://covidactnow.org/us/arkansas-ar,0.608,0.496,6,3560912,3
04,US,AZ,,state,,iso1:us#iso2:us-az,,7278717,0.154,other,45.7,0.02,0.97,0.1,,,,,,0.71,3,2,3,2,1,,1,1280850,22397,1291744,10362774,396,17130,13700,2752,,2175,1549,591,,5236,11903880,4709133,4001730,2021-12-04,https://covidactnow.org/us/arizona-az,0.647,0.55,14,9700701,3
06,US,CA,,state,,iso1:us#iso2:us-ca,,39512223,0.031,other,16.4,0.33,1.06,0.1,,,,,,0.78,2,1,2,1,1,,1,5107543,74987,5094297,91376109,10600,65051,51978,3536,,7102,5533,867,,7764,71475395,31322387,25115622,2021-12-04,https://covidactnow.org/us/california-ca,0.793,0.636,104,60285583,3
08,US,CO,,state,,iso1:us#iso2:us-co,,5758736,0.097,other,39.7,0.11,0.9,0.1,,,,,,0.81,3,1,3,1,0,,2,841666,9528,844652,11076931,1300,11932,8903,1499,,1314,1065,510,,903,10313535,4137923,3663734,2021-12-04,https://covidactnow.org/us/colorado-co,0.719,0.636,10,8718877,3
09,US,CT,,state,,iso1:us#iso2:us-ct,,3565287,0.056,other,27.3,0.18,1.19,0.1,,,,,,0.62,3,1,3,1,2,,0,424451,8925,552014,11367741,860,8192,6685,472,,1025,635,94,,863,6919185,3013418,2576822,2021-12-04,https://covidactnow.org/us/connecticut-ct,0.845,0.723,16,6056168,3
11,US,DC,,state,,iso1:us#iso2:us-dc,,705749,0.019,other,13.4,0.57,0.99,0.15,,,,,,0.77,2,0,2,1,1,,1,67173,1197,96827,3246588,268,3469,2709,98,,338,259,18,,0,1472945,579691,458096,2021-12-04,https://covidactnow.org/us/district_of_columbia-dc,0.821,0.649,0,1173103,2
10,US,DE,,state,,iso1:us#iso2:us-de,,973764,0.092,other,43.8,0.1,1.13,0.1,,,,,,0.87,3,1,3,2,2,,3,155149,2194,173804,2717300,211,3518,2686,280,,195,169,29,,736,1885655,715085,602363,2021-12-04,https://covidactnow.org/us/delaware-de,0.734,0.619,12,1459772,3
12,US,FL,,state,,iso1:us#iso2:us-fl,,21477737,0.03,other,8.8,0.27,1.09,0.1,,,,,,0.75,1,0,1,1,1,,1,3693754,61701,4367747,39455677,2600,58844,46340,1335,,6574,4929,259,,1983,39027525,15485793,13240664,2021-12-04,https://covidactnow.org/us/florida-fl,0.721,0.616,71,31257401,2
